Disease,Medication,Adult_Medication,Pediatric_Medication,Diabetes_Medication,Hypertension_Medication,Heart_Medication,Kidney_Medication
Tuberculosis,"['Isoniazid 300mg', 'Rifampin 600mg', 'Ethambutol 1200mg', 'Pyrazinamide 1500mg']","['Isoniazid 300mg', 'Rifampin 600mg', 'Ethambutol 1200mg', 'Pyrazinamide 1500mg']","['Isoniazid 150mg', 'Rifampin 300mg', 'Ethambutol 600mg']","['Rifampin 600mg', 'Ethambutol 1200mg', 'Pyrazinamide 1500mg', 'Levofloxacin 750mg']","['Rifampin 600mg', 'Ethambutol 1200mg', 'Pyrazinamide 1500mg', 'Levofloxacin 750mg']","['Rifampin 600mg', 'Ethambutol 1200mg', 'Pyrazinamide 1500mg', 'Levofloxacin 750mg']","['Rifampin 600mg', 'Ethambutol 1200mg', 'Pyrazinamide 1500mg', 'Levofloxacin 750mg']"
Common Cold,"['Acetaminophen 500mg', 'Ibuprofen 400mg', 'Pseudoephedrine 60mg', 'Dextromethorphan 30mg', 'Aspirin 325mg']","['Acetaminophen 500mg', 'Ibuprofen 400mg', 'Pseudoephedrine 60mg', 'Dextromethorphan 30mg', 'Aspirin 325mg']","['Acetaminophen 250mg', 'Ibuprofen 200mg', 'Honey (>1 year)']","['Acetaminophen 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg']","['Acetaminophen 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg']","['Acetaminophen 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg']","['Acetaminophen 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg']"
Pneumonia,"['Amoxicillin 500mg', 'Azithromycin 500mg', 'Ceftriaxone 1g', 'Levofloxacin 750mg', 'Doxycycline 100mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Ceftriaxone 1g', 'Levofloxacin 750mg', 'Doxycycline 100mg']","['Amoxicillin 250mg', 'Azithromycin 250mg', 'Ceftriaxone 500mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Ceftriaxone 1g', 'Moxifloxacin 400mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Ceftriaxone 1g', 'Moxifloxacin 400mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Ceftriaxone 1g', 'Moxifloxacin 400mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Ceftriaxone 1g', 'Moxifloxacin 400mg']"
Dimorphic hemmorhoids(piles),"['Hydrocortisone cream 1%', 'Fiber supplements', 'Sitz baths', 'Rubber band ligation']","['Hydrocortisone cream 1%', 'Fiber supplements', 'Sitz baths', 'Rubber band ligation']","['Fiber supplements', 'Sitz baths', 'Topical treatments']","['Fiber supplements', 'Sitz baths', 'Topical treatments', 'Stool softeners']","['Fiber supplements', 'Sitz baths', 'Topical treatments', 'Stool softeners']","['Fiber supplements', 'Sitz baths', 'Topical treatments', 'Stool softeners']","['Fiber supplements', 'Sitz baths', 'Topical treatments', 'Stool softeners']"
Heart attack,"['Aspirin 325mg', 'Clopidogrel 75mg', 'Metoprolol 50mg', 'Lisinopril 10mg', 'Atorvastatin 40mg']","['Aspirin 325mg', 'Clopidogrel 75mg', 'Metoprolol 50mg', 'Lisinopril 10mg', 'Atorvastatin 40mg']","['Emergency care', 'Specialized treatment']","['Aspirin 325mg', 'Clopidogrel 75mg', 'Lisinopril 10mg', 'Rosuvastatin 20mg']","['Aspirin 325mg', 'Clopidogrel 75mg', 'Amlodipine 5mg', 'Rosuvastatin 20mg']","['Aspirin 325mg', 'Clopidogrel 75mg', 'Carvedilol 6.25mg', 'Rosuvastatin 20mg']","['Aspirin 325mg', 'Clopidogrel 75mg', 'Carvedilol 6.25mg', 'Rosuvastatin 20mg']"
Varicose veins,"['Compression stockings', 'Sclerotherapy', 'Elevation', 'Exercise']","['Compression stockings', 'Sclerotherapy', 'Elevation', 'Exercise']","['Compression stockings', 'Elevation', 'Exercise']","['Compression stockings', 'Elevation', 'Exercise', 'Weight management']","['Compression stockings', 'Elevation', 'Exercise', 'Weight management']","['Compression stockings', 'Elevation', 'Exercise', 'Weight management']","['Compression stockings', 'Elevation', 'Exercise', 'Weight management']"
Hypothyroidism,"['Levothyroxine 100mcg', 'Liothyronine 5mcg', 'Thyroid monitoring']","['Levothyroxine 100mcg', 'Liothyronine 5mcg', 'Thyroid monitoring']","['Levothyroxine 50mcg', 'Thyroid monitoring']","['Levothyroxine 100mcg', 'Thyroid monitoring', 'Regular glucose monitoring']","['Levothyroxine 100mcg', 'Thyroid monitoring', 'Regular BP monitoring']","['Levothyroxine 100mcg', 'Thyroid monitoring', 'Cardiac monitoring']","['Levothyroxine 100mcg', 'Thyroid monitoring', 'Renal function monitoring']"
Hyperthyroidism,"['Methimazole 10mg', 'Propylthiouracil 100mg', 'Propranolol 40mg', 'Radioactive iodine']","['Methimazole 10mg', 'Propylthiouracil 100mg', 'Propranolol 40mg', 'Radioactive iodine']","['Methimazole 5mg', 'Propylthiouracil 50mg']","['Methimazole 10mg', 'Propylthiouracil 100mg', 'Atenolol 50mg']","['Methimazole 10mg', 'Propylthiouracil 100mg', 'Amlodipine 5mg']","['Methimazole 10mg', 'Propylthiouracil 100mg', 'Carvedilol 6.25mg']","['Methimazole 10mg', 'Propylthiouracil 100mg', 'Carvedilol 6.25mg']"
Hypoglycemia,"['Glucose tablets', 'Glucagon 1mg', 'Dextrose IV', 'Dietary changes']","['Glucose tablets', 'Glucagon 1mg', 'Dextrose IV', 'Dietary changes']","['Glucose tablets', 'Glucagon 0.5mg', 'Dietary changes']","['Glucose tablets', 'Glucagon 1mg', 'Frequent monitoring', 'Dietary adjustments']","['Glucose tablets', 'Glucagon 1mg', 'Dextrose IV', 'Dietary changes']","['Glucose tablets', 'Glucagon 1mg', 'Dextrose IV', 'Dietary changes']","['Glucose tablets', 'Glucagon 1mg', 'Dextrose IV', 'Dietary changes']"
Osteoarthristis,"['Ibuprofen 400mg', 'Naproxen 500mg', 'Acetaminophen 500mg', 'Topical NSAIDs', 'Physical therapy']","['Ibuprofen 400mg', 'Naproxen 500mg', 'Acetaminophen 500mg', 'Topical NSAIDs', 'Physical therapy']","['Acetaminophen 250mg', 'Physical therapy']","['Acetaminophen 500mg', 'Topical NSAIDs', 'Physical therapy', 'Glucosamine 1500mg']","['Acetaminophen 500mg', 'Topical NSAIDs', 'Physical therapy', 'Glucosamine 1500mg']","['Acetaminophen 500mg', 'Topical NSAIDs', 'Physical therapy', 'Glucosamine 1500mg']","['Acetaminophen 500mg', 'Topical NSAIDs', 'Physical therapy', 'Glucosamine 1500mg']"
Arthritis,"['Ibuprofen 400mg', 'Naproxen 500mg', 'Celecoxib 200mg', 'Prednisone 10mg', 'Methotrexate 7.5mg', 'Aspirin 325mg']","['Ibuprofen 400mg', 'Naproxen 500mg', 'Celecoxib 200mg', 'Prednisone 10mg', 'Methotrexate 7.5mg', 'Aspirin 325mg']","['Ibuprofen 200mg', 'Acetaminophen 250mg']","['Acetaminophen 500mg', 'Celecoxib 200mg', 'Hydroxychloroquine 200mg']","['Acetaminophen 500mg', 'Celecoxib 200mg', 'Hydroxychloroquine 200mg']","['Acetaminophen 500mg', 'Celecoxib 200mg', 'Hydroxychloroquine 200mg']","['Acetaminophen 500mg', 'Celecoxib 200mg', 'Hydroxychloroquine 200mg']"
(vertigo) Paroymsal Positional Vertigo,"['Meclizine 25mg', 'Dimenhydrinate 50mg', 'Canalith repositioning', 'Vestibular rehabilitation']","['Meclizine 25mg', 'Dimenhydrinate 50mg', 'Canalith repositioning', 'Vestibular rehabilitation']","['Dimenhydrinate 25mg', 'Vestibular rehabilitation']","['Meclizine 25mg', 'Canalith repositioning', 'Vestibular rehabilitation']","['Meclizine 25mg', 'Canalith repositioning', 'Vestibular rehabilitation']","['Meclizine 25mg', 'Canalith repositioning', 'Vestibular rehabilitation']","['Meclizine 25mg', 'Canalith repositioning', 'Vestibular rehabilitation']"
Acne,"['Benzoyl peroxide 5%', 'Tretinoin 0.025%', 'Clindamycin 1%', 'Doxycycline 100mg', 'Isotretinoin 20mg']","['Benzoyl peroxide 5%', 'Tretinoin 0.025%', 'Clindamycin 1%', 'Doxycycline 100mg', 'Isotretinoin 20mg']","['Benzoyl peroxide 2.5%', 'Tretinoin 0.01%', 'Clindamycin 1% topical']","['Benzoyl peroxide 5%', 'Tretinoin 0.025%', 'Clindamycin 1%', 'Minocycline 100mg']","['Benzoyl peroxide 5%', 'Tretinoin 0.025%', 'Clindamycin 1%', 'Minocycline 100mg']","['Benzoyl peroxide 5%', 'Tretinoin 0.025%', 'Clindamycin 1%', 'Minocycline 100mg']","['Benzoyl peroxide 5%', 'Tretinoin 0.025%', 'Clindamycin 1%', 'Minocycline 100mg']"
Urinary tract infection,"['Trimethoprim-sulfamethoxazole 160/800mg', 'Nitrofurantoin 100mg', 'Ciprofloxacin 500mg', 'Amoxicillin 500mg']","['Trimethoprim-sulfamethoxazole 160/800mg', 'Nitrofurantoin 100mg', 'Ciprofloxacin 500mg', 'Amoxicillin 500mg']","['Amoxicillin 250mg', 'Trimethoprim-sulfamethoxazole 80/400mg']","['Nitrofurantoin 100mg', 'Amoxicillin 500mg', 'Cephalexin 500mg']","['Nitrofurantoin 100mg', 'Amoxicillin 500mg', 'Cephalexin 500mg']","['Nitrofurantoin 100mg', 'Amoxicillin 500mg', 'Cephalexin 500mg']","['Nitrofurantoin 100mg', 'Amoxicillin 500mg', 'Cephalexin 500mg']"
Psoriasis,"['Topical corticosteroids 0.1%', 'Methotrexate 7.5mg', 'Calcipotriene 0.005%', 'Phototherapy']","['Topical corticosteroids 0.1%', 'Methotrexate 7.5mg', 'Calcipotriene 0.005%', 'Phototherapy']","['Topical corticosteroids 0.05%', 'Calcipotriene 0.005%', 'Phototherapy']","['Topical corticosteroids 0.1%', 'Calcipotriene 0.005%', 'Phototherapy', 'Adalimumab 40mg']","['Topical corticosteroids 0.1%', 'Calcipotriene 0.005%', 'Phototherapy', 'Adalimumab 40mg']","['Topical corticosteroids 0.1%', 'Calcipotriene 0.005%', 'Phototherapy', 'Adalimumab 40mg']","['Topical corticosteroids 0.1%', 'Calcipotriene 0.005%', 'Phototherapy', 'Adalimumab 40mg']"
Impetigo,"['Mupirocin 2%', 'Clindamycin 300mg', 'Cephalexin 500mg', 'Erythromycin 500mg']","['Mupirocin 2%', 'Clindamycin 300mg', 'Cephalexin 500mg', 'Erythromycin 500mg']","['Mupirocin 2%', 'Clindamycin 150mg', 'Cephalexin 250mg']","['Mupirocin 2%', 'Clindamycin 300mg', 'Cephalexin 500mg']","['Mupirocin 2%', 'Clindamycin 300mg', 'Cephalexin 500mg']","['Mupirocin 2%', 'Clindamycin 300mg', 'Cephalexin 500mg']","['Mupirocin 2%', 'Clindamycin 300mg', 'Cephalexin 500mg']"
Food Poisoning,"['Oral rehydration', 'Loperamide 2mg', 'Probiotics', 'Electrolyte replacement']","['Oral rehydration', 'Loperamide 2mg', 'Probiotics', 'Electrolyte replacement']","['Oral rehydration', 'Probiotics', 'Electrolyte replacement']","['Oral rehydration', 'Probiotics', 'Electrolyte replacement']","['Oral rehydration', 'Probiotics', 'Electrolyte replacement']","['Oral rehydration', 'Probiotics', 'Electrolyte replacement']","['Oral rehydration', 'Probiotics', 'Electrolyte replacement']"
Meningitis,"['Ceftriaxone 2g', 'Vancomycin 1g', 'Dexamethasone 10mg', 'Ampicillin 2g']","['Ceftriaxone 2g', 'Vancomycin 1g', 'Dexamethasone 10mg', 'Ampicillin 2g']","['Ceftriaxone 1g', 'Vancomycin 500mg', 'Ampicillin 1g']","['Ceftriaxone 2g', 'Vancomycin 1g', 'Ampicillin 2g']","['Ceftriaxone 2g', 'Vancomycin 1g', 'Ampicillin 2g']","['Ceftriaxone 2g', 'Vancomycin 1g', 'Ampicillin 2g']","['Ceftriaxone 2g', 'Vancomycin 1g', 'Ampicillin 2g']"
Tonsillitis,"['Amoxicillin 500mg', 'Azithromycin 500mg', 'Cephalexin 500mg', 'Acetaminophen 500mg', 'Ibuprofen 400mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Cephalexin 500mg', 'Acetaminophen 500mg', 'Ibuprofen 400mg']","['Amoxicillin 250mg', 'Azithromycin 250mg', 'Acetaminophen 250mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Cephalexin 500mg', 'Acetaminophen 500mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Cephalexin 500mg', 'Acetaminophen 500mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Cephalexin 500mg', 'Acetaminophen 500mg']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Cephalexin 500mg', 'Acetaminophen 500mg']"
Depression,"['Sertraline 50mg', 'Fluoxetine 20mg', 'Amitriptyline 25mg', 'Bupropion 150mg', 'Paroxetine 20mg']","['Sertraline 50mg', 'Fluoxetine 20mg', 'Amitriptyline 25mg', 'Bupropion 150mg', 'Paroxetine 20mg']","['Fluoxetine 10mg', 'Sertraline 25mg']","['Sertraline 50mg', 'Fluoxetine 20mg', 'Bupropion 150mg', 'Escitalopram 10mg']","['Sertraline 50mg', 'Fluoxetine 20mg', 'Bupropion 150mg', 'Escitalopram 10mg']","['Sertraline 50mg', 'Fluoxetine 20mg', 'Bupropion 150mg', 'Escitalopram 10mg']","['Sertraline 50mg', 'Fluoxetine 20mg', 'Bupropion 150mg', 'Escitalopram 10mg']"
Bronchitis,"['Amoxicillin 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg', 'Prednisone 10mg', 'Azithromycin 500mg']","['Amoxicillin 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg', 'Prednisone 10mg', 'Azithromycin 500mg']","['Amoxicillin 250mg', 'Dextromethorphan 15mg', 'Guaifenesin 200mg']","['Amoxicillin 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg', 'Azithromycin 500mg']","['Amoxicillin 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg', 'Azithromycin 500mg']","['Amoxicillin 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg', 'Azithromycin 500mg']","['Amoxicillin 500mg', 'Dextromethorphan 30mg', 'Guaifenesin 400mg', 'Azithromycin 500mg']"
Sinusitis,"['Amoxicillin 500mg', 'Azithromycin 500mg', 'Nasal decongestants', 'Saline irrigation']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Nasal decongestants', 'Saline irrigation']","['Amoxicillin 250mg', 'Saline irrigation', 'Nasal decongestants (pediatric)']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Saline irrigation']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Saline irrigation']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Saline irrigation']","['Amoxicillin 500mg', 'Azithromycin 500mg', 'Saline irrigation']"
Anemia,"['Iron supplements 65mg', 'Vitamin B12 1000mcg', 'Folic acid 1mg', 'Erythropoietin 10,000 units']","['Iron supplements 65mg', 'Vitamin B12 1000mcg', 'Folic acid 1mg', 'Erythropoietin 10,000 units']","['Iron supplements 30mg', 'Vitamin B12 500mcg', 'Folic acid 0.5mg']","['Iron supplements 65mg', 'Vitamin B12 1000mcg', 'Folic acid 1mg', 'Erythropoietin 10,000 units']","['Iron supplements 65mg', 'Vitamin B12 1000mcg', 'Folic acid 1mg', 'Erythropoietin 10,000 units']","['Iron supplements 65mg', 'Vitamin B12 1000mcg', 'Folic acid 1mg', 'Erythropoietin 10,000 units']","['Iron supplements 65mg', 'Vitamin B12 1000mcg', 'Folic acid 1mg', 'Erythropoietin 10,000 units']"
COVID-19,"['Remdesivir 100mg', 'Dexamethasone 6mg', 'Monoclonal antibodies', 'Supportive care']","['Remdesivir 100mg', 'Dexamethasone 6mg', 'Monoclonal antibodies', 'Supportive care']","['Supportive care', 'Monitoring']","['Remdesivir 100mg', 'Monoclonal antibodies', 'Supportive care']","['Remdesivir 100mg', 'Monoclonal antibodies', 'Supportive care']","['Remdesivir 100mg', 'Monoclonal antibodies', 'Supportive care']","['Remdesivir 100mg', 'Monoclonal antibodies', 'Supportive care']"
Appendicitis,"['Surgical removal', 'Antibiotics pre/post surgery', 'Pain management']","['Surgical removal', 'Antibiotics pre/post surgery', 'Pain management']","['Surgical removal', 'Antibiotics (pediatric)', 'Pain management (pediatric)']","['Surgical removal', 'Antibiotics pre/post surgery', 'Pain management']","['Surgical removal', 'Antibiotics pre/post surgery', 'Pain management']","['Surgical removal', 'Antibiotics pre/post surgery', 'Pain management']","['Surgical removal', 'Antibiotics pre/post surgery', 'Pain management']"
